N, nbOpSEL, tExecSEL (ms), nbOpBUL, tExecBUL (ms), nbOpINS, tExecINS (ms)
221,218157,0.083,312439,0.111,158080,0.034
222,220164,0.077,314772,0.103,159544,0.031
223,221567,0.068,316793,0.092,160217,0.027
224,224257,0.071,320784,0.095,162559,0.029
225,225964,0.07,323407,0.093,163617,0.028
226,227945,0.091,326560,0.122,165026,0.037
227,229887,0.082,329313,0.109,166380,0.033
228,232103,0.091,332467,0.123,168085,0.037
229,233925,0.095,334909,0.128,169272,0.04
230,236317,0.08,338354,0.109,171195,0.033
231,238197,0.095,341011,0.129,172447,0.041
232,240234,0.107,344143,0.174,173898,0.047
233,242165,0.114,346647,0.153,175206,0.046
234,244705,0.086,350755,0.117,177300,0.036
235,246367,0.08,353059,0.107,178248,0.033
236,248702,0.078,356383,0.104,180065,0.032
237,250789,0.079,359478,0.107,181556,0.033
238,252902,0.088,362428,0.12,183075,0.037
239,254895,0.081,365104,0.109,184432,0.033
240,257256,0.081,368656,0.108,186262,0.033
241,259305,0.108,371776,0.145,187682,0.044
242,261736,0.089,375547,0.121,189594,0.037
243,263203,0.088,377728,0.12,190246,0.036
244,265666,0.085,380702,0.115,192188,0.035
245,267976,0.111,384335,0.15,193927,0.046
246,270035,0.088,386854,0.12,195333,0.037
247,272538,0.092,390169,0.124,197313,0.038
248,274366,0.089,394469,0.12,198409,0.037
249,276804,0.091,396827,0.125,200292,0.038
250,279005,0.153,400160,0.231,201863,0.071
251,281197,0.172,403501,0.269,203416,0.085
252,283478,0.191,407183,0.296,205081,0.094
253,285516,0.209,409692,0.326,206424,0.102
254,287996,0.181,413762,0.284,208336,0.089
255,290273,0.248,416889,0.385,209979,0.12
256,292146,0.207,419907,0.324,211093,0.102
257,294571,0.177,423094,0.273,212919,0.085
258,297169,0.169,426637,0.26,214964,0.08
259,299082,0.2,430339,0.31,216113,0.096
260,301263,0.189,432929,0.295,217605,0.093
261,303966,0.218,437162,0.342,219772,0.108
262,306471,0.215,440338,0.338,221674,0.106
263,308910,0.189,443500,0.297,223486,0.091
264,311514,0.095,447753,0.129,225508,0.04
265,313910,0.092,450697,0.126,227254,0.039
266,315776,0.099,453323,0.136,228307,0.042
267,318228,0.1,457018,0.136,230116,0.042
268,320619,0.1,460516,0.137,231840,0.042
269,323080,0.111,463802,0.151,233649,0.046
270,325688,0.098,467865,0.134,235644,0.041
271,328201,0.103,471163,0.139,237512,0.043
272,330545,0.104,475423,0.142,239154,0.044
273,332481,0.099,477796,0.135,240261,0.041
274,335212,0.106,482240,0.145,242395,0.044
275,337745,0.099,486227,0.136,244267,0.042
276,340572,0.099,489567,0.135,246516,0.042
277,342551,0.106,492427,0.145,247658,0.045
278,344492,0.102,495153,0.14,248745,0.043
279,347885,0.102,500021,0.141,251714,0.043
280,350171,0.101,503414,0.14,253239,0.043
281,352136,0.131,506279,0.179,254341,0.055
282,354633,0.113,509988,0.155,256131,0.048
283,356936,0.119,514123,0.162,257663,0.05
284,360135,0.13,518269,0.177,260353,0.055
285,362733,0.123,522313,0.17,262258,0.053
286,365473,0.129,526309,0.181,264342,0.055
287,367905,0.124,529179,0.17,266021,0.052
288,370824,0.116,533825,0.159,268327,0.049
289,372885,0.131,536451,0.178,269514,0.056
290,375138,0.109,540202,0.149,270943,0.046
291,377575,0.125,543267,0.17,272607,0.053
292,380651,0.128,547709,0.174,275097,0.054
293,383064,0.111,551533,0.153,276720,0.047
294,385978,0.121,555990,0.166,278988,0.052
295,388200,0.132,559006,0.182,280353,0.056
296,391235,0.116,562690,0.159,282767,0.05
297,393671,0.115,566026,0.158,284399,0.049
298,395932,0.118,570441,0.162,285799,0.05
299,398707,0.131,574441,0.179,287861,0.056
300,402277,0.127,579545,0.176,290950,0.054
301,404164,0.129,581821,0.177,291848,0.054
302,407385,0.133,587184,0.184,294474,0.058
303,410072,0.144,590605,0.196,296402,0.061
304,412221,0.166,594264,0.231,297624,0.071
305,415671,0.204,599044,0.281,300532,0.087
306,418327,0.171,601929,0.236,302403,0.073
307,420363,0.16,606116,0.222,303463,0.068
308,423586,0.135,610188,0.186,306060,0.058
309,426438,0.148,615223,0.206,308170,0.063
310,429601,0.143,619725,0.197,310679,0.062
311,431826,0.149,622117,0.209,311964,0.064
312,434212,0.167,626301,0.231,313452,0.071
313,437314,0.136,630147,0.188,315867,0.059
314,439368,0.166,633970,0.231,316913,0.071
315,442783,0.179,638272,0.246,319724,0.077
316,445816,0.144,642831,0.199,322033,0.062
317,448414,0.163,646592,0.225,323772,0.069
318,451801,0.165,650991,0.23,326531,0.071
319,454128,0.166,655446,0.228,327906,0.071
320,457245,0.16,660120,0.222,330304,0.068
321,459735,0.153,662487,0.214,331881,0.066
322,463076,0.15,668994,0.208,334558,0.064
323,466254,0.215,672468,0.297,337019,0.093
324,468977,0.148,676340,0.205,338884,0.064
325,471588,0.186,679973,0.259,340598,0.081
326,474592,0.188,685366,0.263,342817,0.081
327,477561,0.168,688943,0.233,344986,0.072
328,480553,0.181,693943,0.251,347179,0.078
