N, nbOpSEL, u_nbOPSEL, tExecSEL (ms), u_tExecSEL (ms), nbOpBUL, u_nbOPBUL, tExecBUL (ms), u_tExecBUL (ms), nbOpINS, u_nbOPINS, tExecINS (ms), u_tExecINS (ms)
462, 1177632, 83, 0.151, 0.045, 2724561, 79556, 0.373, 0.100, 741076, 23632, 0.117, 0.068
463, 1182732, 84, 0.199, 0.090, 2744630, 77258, 0.489, 0.234, 744293, 23768, 0.157, 0.115
464, 1187829, 83, 0.220, 0.184, 2754692, 77161, 0.539, 0.311, 748054, 23251, 0.173, 0.225
465, 1192951, 88, 0.228, 0.255, 2767378, 78115, 0.554, 0.412, 751942, 23659, 0.165, 0.086
466, 1198084, 81, 0.222, 0.138, 2780371, 77174, 0.535, 0.216, 755002, 23989, 0.167, 0.085
467, 1203220, 83, 0.208, 0.124, 2794685, 77329, 0.520, 0.577, 758391, 23826, 0.170, 0.386
468, 1208371, 85, 0.347, 0.144, 2804467, 77817, 0.834, 0.308, 762536, 23406, 0.263, 0.149
469, 1213538, 85, 0.442, 0.164, 2815828, 78617, 1.081, 0.417, 763902, 24158, 0.320, 0.084
470, 1218709, 88, 0.460, 0.173, 2827249, 78231, 1.151, 1.210, 767509, 24114, 0.340, 0.110
471, 1223891, 87, 0.482, 0.450, 2839703, 77370, 1.131, 0.551, 771097, 23406, 0.346, 0.144
472, 1229090, 87, 0.512, 0.219, 2854863, 79604, 1.262, 1.919, 775032, 24023, 0.394, 0.316
473, 1234294, 85, 0.507, 0.350, 2863519, 82241, 1.179, 0.467, 776113, 24287, 0.372, 0.250
474, 1239510, 86, 0.463, 0.131, 2879946, 79923, 1.130, 0.355, 781864, 25043, 0.349, 0.148
475, 1244742, 84, 0.335, 0.205, 2887589, 80808, 0.762, 0.439, 784586, 24944, 0.241, 0.143
476, 1249977, 88, 0.161, 0.046, 2901375, 77209, 0.396, 0.104, 786717, 24773, 0.122, 0.034
477, 1255226, 87, 0.157, 0.041, 2912503, 79888, 0.384, 0.079, 790371, 24104, 0.120, 0.036
478, 1260492, 86, 0.157, 0.041, 2927979, 81230, 0.383, 0.074, 794309, 24403, 0.119, 0.027
479, 1265761, 89, 0.155, 0.040, 2940352, 78810, 0.379, 0.099, 797767, 24922, 0.117, 0.027
480, 1271046, 90, 0.164, 0.044, 2946963, 82447, 0.403, 0.128, 799962, 24512, 0.125, 0.042
481, 1276343, 86, 0.207, 0.098, 2961581, 83351, 0.510, 0.221, 804747, 24495, 0.156, 0.070
482, 1281645, 86, 0.219, 0.194, 2975216, 83654, 0.571, 1.518, 807516, 24719, 0.162, 0.109
483, 1286962, 88, 0.239, 0.306, 2989410, 80521, 0.557, 0.382, 811079, 24207, 0.211, 1.195
484, 1292288, 86, 0.260, 0.141, 3002595, 80375, 0.673, 0.977, 813055, 25097, 0.198, 0.111
485, 1297628, 84, 0.211, 0.093, 3014257, 84740, 0.528, 0.449, 817091, 25731, 0.160, 0.069
486, 1302981, 88, 0.244, 0.146, 3027745, 82504, 0.585, 0.286, 821337, 25513, 0.183, 0.116
487, 1308339, 88, 0.196, 0.126, 3037934, 79860, 0.504, 0.540, 824797, 25122, 0.152, 0.275
488, 1313710, 88, 0.245, 0.131, 3047523, 84089, 0.592, 0.250, 827263, 26795, 0.183, 0.090
489, 1319095, 86, 0.186, 0.087, 3063259, 84144, 0.458, 0.229, 831111, 25779, 0.138, 0.048
490, 1324487, 88, 0.225, 0.154, 3074028, 85772, 0.551, 0.244, 834193, 26027, 0.171, 0.107
491, 1329891, 90, 0.215, 0.112, 3090491, 85075, 0.559, 0.840, 836481, 25952, 0.161, 0.076
492, 1335303, 86, 0.226, 0.148, 3099537, 88680, 0.551, 0.287, 840759, 25848, 0.168, 0.104
493, 1340730, 84, 0.166, 0.058, 3115646, 85170, 0.405, 0.110, 844814, 26571, 0.124, 0.037
494, 1346174, 90, 0.169, 0.050, 3126989, 87043, 0.416, 0.122, 847927, 26396, 0.131, 0.049
495, 1351615, 88, 0.157, 0.029, 3138644, 85750, 0.391, 0.059, 848970, 25474, 0.121, 0.028
496, 1357075, 90, 0.186, 0.069, 3155482, 85119, 0.456, 0.141, 854277, 25753, 0.142, 0.052
497, 1362551, 92, 0.163, 0.041, 3163030, 86724, 0.403, 0.093, 858745, 26114, 0.127, 0.050
498, 1368030, 90, 0.201, 0.131, 3184519, 84503, 0.476, 0.157, 862736, 26483, 0.150, 0.071
499, 1373525, 92, 0.180, 0.067, 3193033, 86751, 0.443, 0.122, 865319, 27321, 0.138, 0.053
