N, nbOp, u_nbOP, tExec (ms), u_tExec (ms)
304, 412281, 8858, 0.188, 0.073
305, 414603, 8505, 0.187, 0.065
306, 418155, 8739, 0.160, 0.061
307, 421343, 9184, 0.164, 0.061
308, 423400, 9136, 0.177, 0.064
309, 426690, 8989, 0.192, 0.068
310, 428949, 8991, 0.154, 0.053
311, 431551, 9067, 0.179, 0.067
312, 435103, 9401, 0.175, 0.064
313, 436923, 9195, 0.213, 0.072
314, 440470, 9343, 0.193, 0.066
315, 443739, 9442, 0.223, 0.075
316, 445379, 9483, 0.221, 0.071
317, 448837, 9929, 0.210, 0.078
318, 451526, 9710, 0.168, 0.056
319, 454653, 9639, 0.172, 0.060
320, 457610, 9571, 0.183, 0.071
321, 460038, 9502, 0.194, 0.065
322, 463061, 9456, 0.191, 0.059
323, 465880, 9893, 0.190, 0.073
324, 468372, 9959, 0.217, 0.067
325, 471514, 9651, 0.188, 0.071
326, 473926, 10231, 0.158, 0.047
327, 477158, 10247, 0.183, 0.063
328, 480257, 10089, 0.203, 0.067
329, 483155, 10551, 0.227, 0.076
330, 486354, 10297, 0.213, 0.076
331, 489160, 10452, 0.223, 0.083
332, 491854, 10048, 0.263, 0.068
333, 495448, 10467, 0.223, 0.070
334, 498301, 10053, 0.176, 0.057
335, 501186, 10260, 0.226, 0.084
336, 504010, 10678, 0.187, 0.041
337, 507633, 10689, 0.192, 0.075
338, 510109, 10110, 0.260, 0.087
339, 513514, 10351, 0.248, 0.093
340, 515627, 10552, 0.245, 0.098
341, 519535, 10649, 0.208, 0.072
342, 522022, 10517, 0.269, 0.089
343, 525080, 10640, 0.189, 0.036
344, 527696, 10561, 0.197, 0.058
345, 531859, 10329, 0.231, 0.085
346, 534468, 11041, 0.199, 0.068
347, 537481, 11094, 0.204, 0.072
348, 540122, 10964, 0.240, 0.082
349, 544086, 10767, 0.180, 0.052
350, 546665, 11302, 0.230, 0.079
351, 550825, 11354, 0.190, 0.064
352, 553442, 11212, 0.195, 0.055
353, 556118, 11510, 0.206, 0.071
354, 558751, 11172, 0.245, 0.087
355, 562238, 11381, 0.222, 0.076
356, 565538, 11760, 0.166, 0.018
357, 568819, 11254, 0.194, 0.053
358, 572066, 11876, 0.216, 0.066
359, 574846, 11244, 0.272, 0.081
360, 578687, 11101, 0.231, 0.088
361, 581872, 11000, 0.198, 0.060
362, 585156, 11936, 0.189, 0.045
363, 587851, 11619, 0.193, 0.051
364, 591787, 11928, 0.178, 0.036
365, 594931, 11934, 0.198, 0.062
366, 598993, 12263, 0.262, 0.084
367, 601706, 12047, 0.217, 0.064
368, 604787, 11921, 0.210, 0.067
369, 607678, 12082, 0.219, 0.065
370, 610752, 12225, 0.200, 0.029
371, 614493, 12699, 0.192, 0.025
372, 618326, 12290, 0.198, 0.026
373, 622022, 11968, 0.229, 0.067
374, 624160, 11971, 0.211, 0.046
375, 627717, 11774, 0.199, 0.028
376, 631380, 12603, 0.199, 0.031
377, 634536, 12145, 0.215, 0.041
378, 638185, 12406, 0.203, 0.024
379, 641739, 12251, 0.200, 0.029
380, 645471, 12649, 0.213, 0.051
381, 648077, 12895, 0.280, 0.100
382, 651599, 12695, 0.266, 0.094
383, 655503, 12856, 0.232, 0.094
384, 658206, 12221, 0.288, 0.110
385, 661981, 12781, 0.262, 0.095
386, 665072, 12448, 0.279, 0.097
387, 669314, 12988, 0.279, 0.096
388, 671800, 13311, 0.270, 0.097
389, 675567, 12789, 0.205, 0.051
390, 679617, 13229, 0.233, 0.104
391, 682712, 12977, 0.236, 0.063
392, 686326, 13059, 0.278, 0.089
393, 690084, 12906, 0.279, 0.097
394, 694092, 13508, 0.262, 0.094
395, 697002, 13746, 0.302, 0.165
396, 700108, 13325, 0.223, 0.060
397, 704033, 13107, 0.214, 0.049
398, 707624, 13442, 0.229, 0.058
399, 711365, 13577, 0.228, 0.052
400, 714311, 13632, 0.250, 0.095
401, 717994, 13093, 0.249, 0.086
402, 722311, 13592, 0.240, 0.079
403, 724905, 13632, 0.249, 0.084
404, 728667, 13575, 0.265, 0.113
405, 732088, 13755, 0.287, 0.099
406, 736773, 13923, 0.245, 0.047
407, 739702, 13386, 0.249, 0.075
408, 743348, 14626, 0.312, 0.125
409, 747250, 14092, 0.305, 0.103
410, 751074, 13744, 0.276, 0.110
411, 753970, 14294, 0.289, 0.109
412, 757669, 13714, 0.261, 0.080
413, 761981, 13871, 0.264, 0.079
