N, nbOp, u_nbOP, tExec (ms), u_tExec (ms)
222, 158991, 7468, 0.040, 0.017
223, 160659, 7546, 0.032, 0.016
224, 161718, 7700, 0.034, 0.017
225, 164047, 7318, 0.044, 0.016
226, 165393, 7405, 0.039, 0.019
227, 166298, 7158, 0.033, 0.016
228, 167991, 7807, 0.038, 0.014
229, 169780, 7703, 0.049, 0.016
230, 170684, 7648, 0.038, 0.019
231, 172191, 7697, 0.041, 0.016
232, 173986, 7607, 0.045, 0.024
233, 175564, 8011, 0.033, 0.011
234, 176936, 7897, 0.036, 0.008
235, 178331, 8187, 0.042, 0.018
236, 179707, 8140, 0.043, 0.024
237, 181474, 7920, 0.035, 0.013
238, 183136, 8065, 0.051, 0.020
239, 184748, 7955, 0.045, 0.018
240, 186311, 7742, 0.046, 0.023
241, 187485, 8274, 0.043, 0.017
242, 189366, 8294, 0.038, 0.014
243, 190705, 8009, 0.061, 0.023
244, 192165, 8529, 0.058, 0.020
245, 193731, 8483, 0.040, 0.015
246, 195114, 8382, 0.056, 0.026
247, 196516, 8509, 0.051, 0.027
248, 198476, 8414, 0.059, 0.029
249, 200509, 8695, 0.044, 0.041
250, 201951, 8859, 0.042, 0.011
251, 203613, 9005, 0.059, 0.019
252, 205144, 8709, 0.050, 0.023
253, 207282, 8730, 0.040, 0.012
254, 208273, 8721, 0.047, 0.018
255, 209842, 8858, 0.060, 0.022
256, 211655, 8706, 0.053, 0.025
257, 213392, 9048, 0.054, 0.027
258, 214915, 8712, 0.071, 0.025
259, 216621, 9451, 0.054, 0.029
260, 218183, 9177, 0.059, 0.021
261, 219762, 9263, 0.056, 0.024
262, 221596, 9174, 0.069, 0.029
263, 223350, 9584, 0.054, 0.030
264, 225312, 9505, 0.044, 0.019
265, 226676, 9424, 0.052, 0.019
266, 228704, 9824, 0.053, 0.025
267, 230598, 9249, 0.063, 0.031
268, 231675, 9545, 0.065, 0.022
269, 233594, 9976, 0.067, 0.029
270, 235384, 9825, 0.067, 0.033
271, 237282, 10383, 0.064, 0.031
272, 238835, 10109, 0.059, 0.023
273, 240157, 9559, 0.068, 0.023
274, 242126, 10004, 0.070, 0.029
275, 243437, 10271, 0.056, 0.017
276, 245388, 10054, 0.065, 0.036
277, 247962, 10324, 0.065, 0.037
278, 249357, 10207, 0.065, 0.025
279, 250776, 10383, 0.058, 0.024
280, 253106, 9992, 0.077, 0.027
281, 254861, 10124, 0.061, 0.025
282, 257258, 10247, 0.065, 0.026
283, 258580, 10569, 0.063, 0.030
284, 260501, 10649, 0.059, 0.033
285, 262724, 10970, 0.075, 0.034
286, 264203, 10745, 0.053, 0.023
287, 265818, 10993, 0.064, 0.023
288, 267485, 10424, 0.057, 0.022
289, 269226, 10962, 0.053, 0.027
290, 271005, 10928, 0.062, 0.025
291, 273343, 10653, 0.062, 0.024
292, 274816, 10769, 0.073, 0.031
293, 276673, 10929, 0.063, 0.027
294, 278913, 11277, 0.064, 0.025
295, 280920, 11067, 0.053, 0.017
296, 282435, 10950, 0.070, 0.032
297, 284462, 11549, 0.063, 0.026
298, 286713, 10992, 0.073, 0.028
299, 288182, 11095, 0.068, 0.027
300, 289771, 11526, 0.064, 0.024
301, 292727, 11857, 0.062, 0.031
302, 293983, 11228, 0.072, 0.027
303, 296644, 11340, 0.058, 0.025
304, 297701, 11516, 0.077, 0.030
305, 299144, 11056, 0.077, 0.026
306, 302179, 11360, 0.067, 0.027
307, 304735, 11939, 0.069, 0.030
308, 305818, 11877, 0.074, 0.029
309, 308498, 11684, 0.081, 0.036
310, 309831, 11687, 0.064, 0.022
311, 311606, 11787, 0.074, 0.029
312, 314611, 12221, 0.073, 0.027
313, 315359, 11953, 0.089, 0.033
314, 318346, 12146, 0.081, 0.034
315, 320967, 12274, 0.093, 0.031
316, 321465, 12327, 0.093, 0.034
317, 324322, 12907, 0.088, 0.034
318, 326172, 12622, 0.071, 0.032
319, 328588, 12530, 0.073, 0.033
320, 330778, 12442, 0.077, 0.034
321, 332274, 12353, 0.083, 0.038
322, 334539, 12293, 0.080, 0.031
323, 336534, 12860, 0.081, 0.038
324, 338097, 12946, 0.091, 0.033
325, 340501, 12545, 0.079, 0.039
326, 341951, 13300, 0.069, 0.032
327, 344461, 13321, 0.076, 0.028
328, 346794, 13115, 0.086, 0.038
329, 348860, 13716, 0.097, 0.043
330, 351312, 13385, 0.090, 0.035
331, 353247, 13587, 0.094, 0.043
332, 355033, 13062, 0.112, 0.040
333, 357982, 13606, 0.096, 0.042
334, 359964, 13069, 0.075, 0.033
335, 361982, 13338, 0.096, 0.040
336, 363915, 13880, 0.081, 0.031
337, 366882, 13895, 0.082, 0.034
338, 368352, 13142, 0.110, 0.043
339, 371025, 13456, 0.106, 0.042
340, 372014, 13717, 0.103, 0.042
341, 375331, 13843, 0.087, 0.037
342, 376794, 13671, 0.114, 0.042
343, 378995, 13831, 0.081, 0.017
344, 380617, 13728, 0.083, 0.026
345, 384243, 13427, 0.098, 0.036
346, 385845, 14353, 0.084, 0.029
347, 387967, 14422, 0.086, 0.033
348, 389601, 14252, 0.100, 0.035
349, 392948, 13997, 0.076, 0.025
350, 394490, 14692, 0.098, 0.035
351, 398082, 14760, 0.080, 0.024
352, 399662, 14574, 0.082, 0.025
353, 401316, 14962, 0.087, 0.033
354, 402907, 14523, 0.103, 0.036
355, 405604, 14795, 0.095, 0.036
356, 408052, 15287, 0.071, 0.009
357, 410469, 14630, 0.082, 0.023
358, 412838, 15438, 0.091, 0.028
359, 414595, 14617, 0.115, 0.034
360, 417726, 14430, 0.097, 0.035
361, 419998, 14300, 0.084, 0.026
362, 422394, 15516, 0.081, 0.021
363, 424020, 15104, 0.082, 0.025
364, 427253, 15506, 0.076, 0.015
365, 429451, 15514, 0.084, 0.028
366, 432837, 15941, 0.112, 0.039
367, 434465, 15661, 0.093, 0.031
368, 436567, 15497, 0.091, 0.031
369, 438415, 15706, 0.095, 0.032
370, 440498, 15892, 0.085, 0.016
371, 443440, 16507, 0.081, 0.012
372, 446499, 15976, 0.084, 0.013
373, 449373, 15558, 0.099, 0.035
374, 450217, 15563, 0.090, 0.023
375, 452899, 15306, 0.085, 0.013
376, 455716, 16383, 0.085, 0.016
377, 457868, 15788, 0.090, 0.019
378, 460655, 16128, 0.087, 0.016
379, 463314, 15926, 0.086, 0.013
380, 466199, 16443, 0.092, 0.023
381, 467614, 16764, 0.121, 0.084
382, 470216, 16503, 0.114, 0.039
383, 473309, 16712, 0.098, 0.034
384, 474836, 15886, 0.123, 0.049
385, 477750, 16616, 0.112, 0.041
386, 479770, 16182, 0.119, 0.044
387, 483282, 16884, 0.120, 0.049
388, 484505, 17304, 0.116, 0.045
389, 487390, 16625, 0.087, 0.022
390, 490636, 17198, 0.102, 0.070
391, 492635, 16869, 0.101, 0.029
